Problem_ID,Subcat,problem_text,problem_latex,answer_latex
C_5x5_det_001,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -3 & -3 & 1 & -4 & -2 \\ 5 & 4 & 1 & -4 & -5 \\ -4 & 4 & -5 & -5 & 4 \\ -2 & -1 & -5 & -5 & -1 \\ -4 & 2 & -2 & -3 & -1 \end{bmatrix},\det(A) = 5950
C_5x5_det_002,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 2 & -3 & -1 & 3 & -5 \\ 2 & 4 & -2 & -1 & 1 \\ -4 & 0 & 1 & -3 & -4 \\ 3 & -2 & 5 & 0 & -5 \\ -3 & 5 & 5 & 1 & -3 \end{bmatrix},\det(A) = -7556
C_5x5_det_003,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -1 & -1 & 1 & -2 & 5 \\ -5 & 1 & -1 & 2 & 1 \\ 2 & -4 & 5 & 0 & 2 \\ 4 & -3 & -1 & 3 & -4 \\ -3 & -4 & -4 & -2 & 0 \end{bmatrix},\det(A) = 3090
C_5x5_det_004,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 4 & -5 & 3 & -4 & 1 \\ -2 & -2 & 0 & 4 & 2 \\ 4 & -3 & -2 & -2 & -2 \\ 3 & 1 & 4 & 2 & 1 \\ -2 & 4 & 1 & 1 & 1 \end{bmatrix},\det(A) = 560
C_5x5_det_005,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -4 & 5 & -2 & -1 & -2 \\ -4 & -5 & 0 & 3 & 1 \\ 3 & 4 & -4 & -5 & -2 \\ -4 & -2 & -1 & 2 & 1 \\ -4 & -1 & -2 & -2 & 2 \end{bmatrix},\det(A) = -607
C_5x5_det_006,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 1 & 3 & 1 & -1 & -1 \\ 2 & -5 & -5 & 4 & 3 \\ 3 & -1 & 5 & 5 & 3 \\ 1 & -4 & 1 & 3 & 2 \\ 5 & 4 & 5 & -4 & 2 \end{bmatrix},\det(A) = 712
C_5x5_det_007,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -4 & 2 & 4 & 3 & 2 \\ -4 & -2 & -4 & 3 & 2 \\ 0 & -4 & -3 & 0 & -3 \\ -3 & 4 & -2 & -3 & 1 \\ 2 & 4 & -4 & -2 & 5 \end{bmatrix},\det(A) = 244
C_5x5_det_008,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 3 & 5 & -2 & 5 & 5 \\ 2 & 4 & 4 & -2 & -2 \\ 0 & 1 & -5 & 3 & 2 \\ 2 & -1 & -1 & 0 & -5 \\ 3 & 4 & -3 & 0 & -4 \end{bmatrix},\det(A) = 426
C_5x5_det_009,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 0 & 4 & -3 & 5 & -1 \\ -2 & -5 & -2 & 2 & 2 \\ -3 & 0 & -4 & 2 & 0 \\ 4 & -4 & 5 & -3 & 5 \\ 3 & 0 & -5 & 4 & -2 \end{bmatrix},\det(A) = 2110
C_5x5_det_010,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -2 & -2 & -4 & 2 & 1 \\ -2 & -4 & 2 & -3 & 1 \\ 0 & 4 & 3 & 4 & -1 \\ 5 & 2 & 3 & 0 & 4 \\ -3 & -1 & -2 & -2 & -4 \end{bmatrix},\det(A) = 187
C_5x5_det_011,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 2 & 3 & 0 & 2 & 2 \\ 2 & 0 & -5 & -5 & 3 \\ -4 & -5 & -1 & 5 & 0 \\ -1 & 0 & -5 & 2 & -4 \\ -3 & 5 & -3 & 2 & 5 \end{bmatrix},\det(A) = -9112
C_5x5_det_012,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 2 & -2 & 5 & 1 & -4 \\ 3 & -1 & -4 & 1 & 0 \\ 4 & 5 & -5 & -2 & -4 \\ -2 & 2 & 2 & 2 & 0 \\ -2 & 1 & -2 & 0 & -4 \end{bmatrix},\det(A) = -3328
C_5x5_det_013,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 0 & 4 & 5 & 5 & -1 \\ 0 & 2 & -4 & 3 & -2 \\ 0 & -3 & -1 & -3 & -3 \\ 3 & -1 & 3 & 0 & 1 \\ -5 & 4 & 5 & 3 & -3 \end{bmatrix},\det(A) = 36
C_5x5_det_014,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -2 & 1 & 2 & -5 & -5 \\ -2 & -2 & 0 & 5 & 1 \\ 1 & -2 & 3 & 4 & 1 \\ 5 & 0 & -4 & 1 & -4 \\ 0 & 5 & 4 & -4 & -1 \end{bmatrix},\det(A) = 3721
C_5x5_det_015,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 0 & -2 & -3 & -3 & -1 \\ 0 & -1 & -2 & 0 & 5 \\ -4 & 5 & 4 & -1 & 0 \\ 4 & 3 & 2 & 4 & 2 \\ 4 & 4 & -1 & 0 & -4 \end{bmatrix},\det(A) = -880
C_5x5_det_016,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 5 & -5 & 3 & -2 & 3 \\ -5 & 0 & 2 & -1 & 5 \\ 3 & 5 & -4 & -1 & 2 \\ -2 & 0 & 4 & 5 & -1 \\ 5 & -3 & 2 & 5 & 5 \end{bmatrix},\det(A) = -9037
C_5x5_det_017,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 4 & 3 & -1 & 2 & -4 \\ 4 & 4 & 1 & -5 & 5 \\ -5 & -5 & 3 & 1 & 0 \\ -3 & -4 & 1 & 1 & -2 \\ 3 & 1 & 0 & 3 & -5 \end{bmatrix},\det(A) = -101
C_5x5_det_018,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 2 & 1 & 0 & 2 & -3 \\ -3 & -4 & 5 & 4 & -3 \\ -1 & -5 & -3 & 1 & -2 \\ -4 & 1 & -5 & -4 & -5 \\ 5 & 2 & -5 & 4 & 0 \end{bmatrix},\det(A) = 5139
C_5x5_det_019,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 4 & -4 & -3 & 0 & -1 \\ -1 & -5 & 4 & 0 & -1 \\ 2 & -5 & 1 & -2 & 4 \\ 0 & 2 & 4 & 1 & 4 \\ 4 & -3 & 3 & -1 & -3 \end{bmatrix},\det(A) = 3065
C_5x5_det_020,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 0 & -1 & 3 & 3 & 3 \\ -1 & 4 & -5 & -3 & -4 \\ -5 & -2 & -3 & -3 & -2 \\ 2 & 1 & -2 & 1 & -1 \\ 0 & -2 & -4 & 5 & -4 \end{bmatrix},\det(A) = -668
C_5x5_det_021,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 3 & -3 & 3 & 0 & 3 \\ 1 & -1 & 4 & 5 & 4 \\ 1 & -1 & 5 & -4 & -1 \\ 5 & 5 & 1 & -3 & 4 \\ 1 & 1 & 1 & 0 & 1 \end{bmatrix},\det(A) = 180
C_5x5_det_022,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -5 & 5 & 4 & 2 & 0 \\ 5 & -3 & -3 & 2 & 3 \\ 0 & 1 & 2 & 1 & -3 \\ 0 & -2 & 5 & -4 & 5 \\ 5 & 0 & 4 & 2 & 5 \end{bmatrix},\det(A) = -1750
C_5x5_det_023,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -3 & -4 & -1 & -4 & 2 \\ 2 & 2 & 1 & -4 & 2 \\ 2 & 2 & -3 & 5 & -3 \\ -4 & 0 & 4 & 5 & -5 \\ 1 & 2 & 3 & 2 & -5 \end{bmatrix},\det(A) = -896
C_5x5_det_024,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 3 & -4 & 1 & 1 & 1 \\ 2 & 0 & -3 & -3 & -3 \\ -5 & -2 & 4 & 2 & 4 \\ -3 & -4 & 5 & -4 & 5 \\ 4 & -5 & -2 & 1 & 1 \end{bmatrix},\det(A) = 1110
C_5x5_det_025,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} 5 & -3 & -5 & 2 & 0 \\ 5 & 1 & -4 & -4 & -1 \\ -5 & 1 & -3 & 3 & 2 \\ -4 & -4 & 2 & -1 & -4 \\ -3 & 0 & -1 & -5 & -3 \end{bmatrix},\det(A) = 662
C_5x5_det_026,determinant,Find the determinant of the 5×5 matrix A.,A = \begin{bmatrix} -1 & -3 & -3 & -2 & -2 \\ 0 & 3 & 2 & -3 & 4 \\ -5 & 4 & 3 & -4 & -3 \\ -4 & -4 & 4 & 3 & -5 \\ -2 & 0 & 0 & 3 & -4 \end{bmatrix},\det(A) = 1124
